Action,እርምጃ,
App Name,የመተግበሪያ ስም,
Archived,በማህደር,
Avatar,አምሳያ,
Call,ጥሪ,
Chat,ውይይት,
Client,ደምበኛ,
Compact Item Print,ውሱን ንጥል አትም,
Consultant,አማካሪ,
Country,አገር,
Email,ኢሚል,
Employee Name,የሰራተኛ ስም,
Error Message,የተሳሳተ መልዕክት,
Facebook,ፌስቡክ,
First Name,የመጀመሪያ ስም,
High,ከፍ ያለ,
In Progress,በሂደት ላይ,
Is Billing Contact,የሂሳብ አከፋፈል ዕውቂያ ነው,
Is Your Company Address,የእርስዎ ኩባንያ አድራሻ ነው,
Keyboard Shortcuts,የቁልፍ ሰሌዳ አቋራጮች።,
Last Name,የአያት ሥም,
Lost,ጠፍቷል,
Low,ዝቅ ያለ,
Middle Name,የአባት ስም,
New,አዲስ,
Normal,መደበኛ,
Notes,ማስታወሻዎች,
On Hold,በተጠንቀቅ,
Phone,ስልክ,
Print UOM after Quantity,ከቁጥር በኋላ UOM ን ያትሙ,
Print taxes with zero amount,በዜሮ መጠን ግብር ያትሙ,
Priority,ቅድሚያ,
Project Name,የፕሮጀክት ስም,
Qualification,እዉቀት,
Reload,ዳግም ጫን,
SMS,ኤስኤምኤስ,
Scheduled,የተያዘለት,
Service,አገልግሎት,
Session Defaults,የክፍለ ጊዜ ነባሪዎች።,
Sync,አመሳስል,
System Manager,የስርዓት አስተዳዳሪ,
Tax Category,የግብር ምድብ።,
Title,አርእስት,
Topic,አርእስት,
Urgent,አስቸኳይ,
View Website,ይመልከቱ ድር ጣቢያ,
Web Form,የድር ቅጽ,
WhatsApp,ዋትስአፕ,
