Action,action,
App Name,App ကိုအမည်,
Archived,မော်ကွန်းတင်ထား,
Avatar,avatar,
Call,တယ်လီဖုန်းဆက်,
Chat,chat,
Client,ဖောက်သည်,
Compact Item Print,ကျစ်လစ်သိပ်သည်း Item ပုံနှိပ်ပါ,
Consultant,အကြံပေး,
Country,ပြည်,
Email,အီးမေး,
Employee Name,ဝန်ထမ်းအမည်,
Error Message,အမှားပြစာ,
Facebook,Facebook က,
First Name,နာမည်,
High,မြင့်သော,
In Progress,ဆောင်ရွက်ဆဲဖြစ်သည်,
Is Billing Contact,ငွေတောင်းခံမှုဖြစ်သည်,
Is Your Company Address,သင့်ရဲ့ကုမ္ပဏီလိပ်စာဖြစ်ပါသည်,
Keyboard Shortcuts,keyboard Shortcuts,
Last Name,မျိုးနွယ်အမည်,
Lost,ဆုံးရှုံး,
Low,အနိမျ့,
Middle Name,အလယ်နာမည်,
New,အသစ်,
Normal,သာမန်,
Notes,မှတ်စုများ,
On Hold,ခေတ္တဆိုင်းငံထားသည်,
Phone,Phone များ,
Print UOM after Quantity,အရေအတွက်အပြီး UOM ကို print ထုတ်ပါ,
Print taxes with zero amount,သုညငွေပမာဏနှင့်အတူပုံနှိပ်ပါအခွန်များ,
Priority,ဦးစားပေး,
Project Name,စီမံကိန်းအမည်,
Qualification,အရည်အချင်း,
Reload,Reload ကို,
SMS,စာတို,
Scheduled,Scheduled,
Service,ဝန်ဆောင်မှု,
Session Defaults,session Defaults ကို,
Sync,Sync ကို,
System Manager,system Manager က,
Tax Category,အခွန်အမျိုးအစား,
Title,ဘှဲ့,
Topic,အကွောငျး,
Urgent,အမြန်လိုသော,
View Website,view ဝက်ဘ်ဆိုက်,
Web Form,Web ကို Form တွင်,
WhatsApp,နင်,
